analysis,endpoint,exposure,estimate,lower,upper,i2,cohorts,n,events,source,caveat
primary,P1 non-fatal cardiovascular events,Grip strength,0.904875,0.860916,0.951079,61.4,6,81225,13296,B7 primary result lock,P1 is self-reported non-fatal cardiovascular events
primary,P1 non-fatal cardiovascular events,Multimorbidity,1.223000,1.177000,1.271000,75.4,6,81225,13296,B7 primary result lock,Common fully adjusted model
primary,P1 non-fatal cardiovascular events,Social engagement,0.980000,0.942000,1.019000,73.2,6,81225,13296,B7 primary result lock,Common fully adjusted model
primary,P2 cardiovascular death,Grip strength,0.644786,0.601237,0.691489,0.0,3,60404,2009,B7 primary result lock,P2 includes MHAS with 17 cardiovascular deaths
primary,P2 cardiovascular death,Multimorbidity,1.116000,0.937000,1.329000,82.2,3,60404,2009,B7 primary result lock,Common fully adjusted model
primary,P2 cardiovascular death,Social engagement,0.893000,0.608000,1.311000,96.8,3,60404,2009,B7 primary result lock,Substantial between-cohort heterogeneity
within-cohort MICE m=20,P1 non-fatal cardiovascular events,Grip strength,0.913978,0.870531,0.959593,66.0,6,NA,NA,B7 P1 MICE result,P1 only; Rubin pooled within cohort before REML
5-year lag,P1 non-fatal cardiovascular events,Grip strength,0.909201,0.863876,0.956904,30.1,6,NA,NA,B7 supporting result,Follow-up re-originated at year 5
5-year lag,P2 cardiovascular death,Grip strength,0.711006,0.642377,0.786967,0.0,3,NA,NA,B7 supporting result,Follow-up re-originated at year 5
Fine-Gray competing-risk sensitivity,P2 cardiovascular death,Grip strength,0.687997,0.641017,0.738420,0.0,3,60404,2009,B7 supporting result,Non-cardiovascular death was competing event
Sparse-event exclusion sensitivity,P2 cardiovascular death,Grip strength,0.645467,0.601683,0.692437,NA,2,NA,NA,B7 supporting result,Excludes MHAS due to 17 deaths and Cox warning
